name,code,professor,school,description,semester,day,time,term
Independent Study,NUT 300 16,Hotamisligil,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Full Term
Tutorial - Junior Year,CLASSIC 98 001,Hudson,FAS,"Close study of a topic in Greco-Roman civilization and/or literature, culminating in the preparation of a substantial research paper (ca. 20 pages). Â This is a junior tutorial.",2021 Spring,,,Full Term
Independent Study,NUT 300 37,Stampfer,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Full Term
Independent Study,EPI 300 213,Okereke,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,Spring 2
Independent Study,NUT 300 70,Sun,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Full Term
Introduction to Qualitative Research,EDU S504,Duraisingh,HGSE,"This introductory methods course offers students a sense of the terrain of qualitative research, including some of the different tools and approaches available to researchers in the field of education. The assigned readings will include scholarship on the practice and philosophical underpinnings of qualitative research, varied examples of published qualitative research, and raw data. Class sessions will involve active and collaborative learning, with discussions and activities related to the wee",2020 Fall,T Th,9:00am - 10:15am,Full Term
Independent Study,NUT 300 5,Chavarro,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Fall 1
Independent Study,NUT 300 11,Fawzi,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Fall 1
Independent Study,EPI 300 240,Christiani,HSPH,An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses.,2021 Spring,,,January
International Conflict and Cooperation,GOV 40,Chaudoin,FAS,"This course is an introduction to the analysis of the causes and character of international conflict and cooperation. The course begins with a foundational review of the different levels at which states interact and the primary theoretical paradigms in the field. It then addresses how states achieve cooperation in the face of international anarchy. The course next addresses basic bargaining theory, which uses insights from economics to explore how bargaining breakdowns, commitment problems, and",2021 Spring,,,Full Term
Independent Study,NUT 300 38,Stampfer,HSPH,"An opportunity for independent study is offered for interested and qualified students or small groups of students. Arrangements must be made with individual faculty members and are limited by the amount of faculty time available. These programs are open to all students who wish to go beyond the content of the regular courses. Independent study work can include laboratory studies, projects in applied nutrition, library research, or the following special topic listed under NUT 301.",2020 Fall,,,Fall 1
